Employer,Location,Latitude,Longitude,Country,Skills,Skill,Jobs,Country_Percentage,Skills_Percentage,NumberSkills,NumberCountry
Booking.com,Amsterdam,52.37403,4.88969,Netherlands,"hadoop,python,machine-learning,bigdata,r",Data Management,1,4.99,80.77,1,1
Cloudreach,Amsterdam,52.37403,4.88969,Netherlands,"python,amazon-web-services,mysql,ruby,linux",Data Quality Management,1,0.24,100,1,1
Stream INC,Amsterdam,52.37403,4.88969,Netherlands,"python,amazon-web-services,django,cassandra,linux,sysadmin",Data Governance,1,6.41,90,1,1
TravelBird,Amsterdam,52.37403,4.88969,Netherlands,"mysql,etl,data-warehouse,informatica,pentaho",Data Analysis,1,3.33,93.33,1,1
Advidi,Amsterdam,52.37403,4.88969,Netherlands,"python,html,ruby-on-rails",Data Engineering,1,29.93,81.82,1,1
VI Company,Rotterdam,51.9225,4.47917,Netherlands,"c#,sql-server,asp.net-mvc,visual-studio",Data Visualization,1,0.71,42.86,1,1
Advidi,Amsterdam,52.37403,4.88969,Netherlands,"python,bigdata,linux,unix,sysadmin,cloud",Artificial Intelligence,1,7.13,61.22,1,1
Coolblue,Rotterdam,51.9225,4.47917,Netherlands,"sql,php,symfony2,json,zend-framework",Cloud Computing,1,21.14,60.14,1,1
IceMobile Agency B.V.,Amsterdam,52.37403,4.88969,Netherlands,"javascript,mobile,testing,automated-tests",Mathematics,1,3.33,53.85,1,1
IceMobile Agency B.V.,Amsterdam,52.37403,4.88969,Netherlands,"linux,network-programming,cloud,devops,aws-sdk",Statistics,1,0.24,50,1,1
Coolblue,Rotterdam,51.9225,4.47917,Netherlands,"hadoop,machine-learning,sql,business-intelligence,r",Business Intelligence,1,22.57,66.43,1,1
Greenhouse Innovation,Amsterdam,52.37403,4.88969,Netherlands,"java,amazon-web-services,mysql,http",Data Management,1,4.17,11.54,1,1
Adyen,Amsterdam,52.37403,4.88969,Netherlands,"css,html,javascript,backbone.js,d3.js",Data Governance,1,2.78,6.67,1,1
Rijksoverheid,The Hague,52.07667,4.29861,Netherlands,jbehave,Data Engineering,1,15.28,7.14,1,1
Itility,Eindhoven,51.44083,5.47778,Netherlands,"java,python,sql,architecture,cloud",Artificial Intelligence,1,4.17,6.12,1,1
GoDataDriven,Amsterdam,52.37403,4.88969,Netherlands,"hadoop,data-management,etl,devops,ansible",Cloud Computing,1,34.72,16.89,1,1
Rijksoverheid,The Hague,52.07667,4.29861,Netherlands,"java,c++,scala",Mathematics,1,15.28,42.31,1,1
KPN,The Hague,52.07667,4.29861,Netherlands,"data,analyst,big,specialist,telecom",Statistics,1,1.39,50,1,1
Eyefreight - Utrecht Area,Bunnik,52.06667,5.19861,Netherlands,"java,rest,oracle,soap,eclips",Business Intelligence,1,22.22,11.19,1,1
Plaxis bv,Delft,52.00667,4.35556,Netherlands,"javascript,django,css3,html5,extjs",Data Management,1,2.27,3.85,1,1
CodiLime Sp. z o.o.,Warsaw,52.22977,21.01178,Poland,"python,django,linux,git,pyramid",Data Engineering,1,2.27,0.65,1,1
SolarWinds,Krakow,50.06143,19.93658,Poland,"jquery,c#,angularjs,.net,extjs",Data Visualization,1,4.55,28.57,1,1
Growbots,Warsaw,52.22977,21.01178,Poland,"python,rest,elasticsearch,docker,celery",Artificial Intelligence,1,11.36,10.2,1,1
"Mirantis, Inc.",Poznaä__íï,52.40692,16.92993,Poland,"python,django,linux,high-availability",Cloud Computing,1,38.64,11.49,1,1
ABB,Krakow,50.06143,19.93658,Poland,"javascript,c#,asp.net,.net,wcf",Mathematics,1,2.27,3.85,1,1
"Mirantis, Inc.",Poznaä__íï,52.40692,16.92993,Poland,"python,django,linux,networking",Business Intelligence,1,38.64,11.89,1,1
YieldPlanet,Warsaw,52.22977,21.01178,Poland,"sql,asp.net,.net,asp.net-mvc,c#-4.0",Data Analysis,1,5,6.67,1,1
Amazon,Gdaä__íïsk,54.35205,18.64637,Poland,"research,speech,tts",Data Engineering,1,20,2.6,1,1
Feedzai,Lisbon,38.71667,-9.13333,Portugal,"java,scala,distributed-system,akka",Data Visualization,1,10,28.57,1,1
Feedzai,Lisbon,38.71667,-9.13333,Portugal,"python,machine-learning,sql,data-analysis,statistics",Cloud Computing,1,45,6.08,1,1
Feedzai,Lisbon,38.71667,-9.13333,Portugal,"css,html,javascript,jquery,sql-server",Business Intelligence,1,20,2.8,1,1
National Instruments Romania S.R.L.,Cluj-Napoca,46.76667,23.6,Romania,"c++,c#,c,.net,labview",Data Governance,1,7.14,3.33,1,1
Guided Knowledge Central,Bucharest,44.43225,26.10626,Romania,"c++,ios,objective-c,swift,cocoa-touch",Data Engineering,1,28.57,2.6,1,1
Crossover,Bucharest,44.43225,26.10626,Romania,"java,javascript,sql,ruby,jvm",Cloud Computing,1,28.57,2.7,1,1
University of Oxford,Uk,54.9426,57.2634,Russia,"python,css,sql,html5,php",Business Intelligence,1,35.71,3.5,1,1
Xanadu Trading,Barcelona,41.38879,2.15899,Spain,"java,c++,boost,stl,r",Data Management,1,3.33,3.85,1,1
TAPTAP Networks S.L.,Madrid,40.4165,-3.70256,Spain,"java,mongodb,node.js,elasticsearch,redis",Data Engineering,1,26.67,5.19,1,1
TAPTAP Networks S.L.,Madrid,40.4165,-3.70256,Spain,"amazon-web-services,mongodb,sysadmin,nginx,puppet,redis",Artificial Intelligence,1,36.67,22.45,1,1
Typeform,el Prat de Llobregat,41.32784,2.09472,Spain,"javascript,php,frontend,git,golang",Cloud Computing,1,13.33,2.7,1,1
RavenPack,Marbella,36.51543,-4.88583,Spain,"mysql,java-ee,jpa",Business Intelligence,1,20,4.2,1,1
Telefonica Innovation,Barcelona,41.38879,2.15899,Spain,"python,c++,django,mysql,mongodb",Data Management,1,4.99,80.77,1,1
BMAT Music Innovation,Barcelona,41.38879,2.15899,Spain,"python,c,saas,fingerprinting,object",Data Quality Management,1,0.24,100,1,1
mCentric,Las Rozas de Madrid,40.49292,-3.87371,Spain,"java,bigdata,c,architecture,telecommunication",Data Governance,1,6.41,90,1,1
mCentric,Las Rozas de Madrid,40.49292,-3.87371,Spain,"java,bigdata,c,project-management,telecommunication",Data Analysis,1,3.33,93.33,1,1
Frontiers,Pozuelo de Alarcä__ä_«n,40.43293,-3.81338,Spain,"css,html,javascript,jquery,user-interface",Data Engineering,1,29.93,81.82,1,1
Brandcrumb,Barcelona,41.38879,2.15899,Spain,"javascript,mysql,php,rest,git",Data Visualization,1,0.71,42.86,1,1
Brandcrumb,Barcelona,41.38879,2.15899,Spain,"hadoop,nosql,amazon-web-services,sysadmin,chef,puppet",Artificial Intelligence,1,7.13,61.22,1,1
Brandcrumb,Barcelona,41.38879,2.15899,Spain,"java,python,c++,mysql,ruby",Cloud Computing,1,21.14,60.14,1,1
StyleSage - Fashion meets Big Data,Madrid,40.4165,-3.70256,Spain,"python,machine-learning,web-crawler,angularjs,database",Mathematics,1,3.33,53.85,1,1
Visca Web,Barcelona,41.38879,2.15899,Spain,"php,xml,real-time,solid-principles,backend",Statistics,1,0.24,50,1,1
StyleSage - Fashion meets Big Data,Madrid,40.4165,-3.70256,Spain,"javascript,django,angularjs,d3.js,underscore.js",Business Intelligence,1,22.57,66.43,1,1
Watty AB,Stockholm,59.33258,18.0649,Sweden,"python,linux,rabbitmq,docker,microservices",Data Management,1,4.17,11.54,1,1
Energimolnet by Playback Energy AB,Gothenburg,57.70716,11.96679,Sweden,"angularjs,mongodb,php,yii,heroku",Data Governance,1,2.78,6.67,1,1
Vricon Systems AB,Linkä__ä_‰ping,58.41086,15.62157,Sweden,"c++,3d,user-interface,qt,opengl",Data Engineering,1,15.28,7.14,1,1
Greenbyte AB,Gothenburg,57.70716,11.96679,Sweden,"amazon-web-services,sysadmin,database,networking,integration,ipsec",Artificial Intelligence,1,4.17,6.12,1,1
